word	level	pinyin	gloss
只	HSK1	zhī	variant of 隻|只[zhi1]
知道	HSK1	zhī dào	to know; to become aware of; also pr. [zhi1dao5]
中国	HSK1	Zhōng guó	China
中文	HSK1	Zhōng wén	Chinese language
中午	HSK1	zhōng wǔ	noon; midday
中学	HSK1	zhōng xué	middle school
中学生	HSK1	zhōng xué shēng	middle-school student; high school student
住	HSK1	zhù	to live; to reside; to stay; to stop; to cease
桌子	HSK1	zhuō zi	table; desk
字	HSK1	zì	letter; symbol
坐	HSK1	zuò	to sit; to take a seat
做	HSK1	zuò	to make; to produce; to write; to compose
做饭	HSK1	zuò fàn	to prepare a meal; to cook
昨天	HSK1	zuó tiān	yesterday
啊	HSK2	à	interjection or grunt of agreement; uhm
爱好	HSK2	ài hào	to like; to be fond of; to take pleasure in; to be keen on; interest; hobby
白色	HSK2	bái sè	white; fig. reactionary
班	HSK2	bān	team; class; grade; (military) squad
帮	HSK2	bāng	to help; to assist
帮忙	HSK2	bāng máng	to help; to lend a hand
包	HSK2	bāo	to cover; to wrap
本子	HSK2	běn zi	book; notebook
比	HSK2	bǐ	to compare; (followed by a noun and adjective) more {adj.} than {noun}
笔	HSK2	bǐ	writing brush; writing implement (pen, pencil etc) (CL:支[zhi1],枝[zhi1]); brushstroke; stroke (in painting o...
别	HSK2	bié	to leave; to part (from); (literary) to differentiate; to distinguish
不好意思	HSK2	bù hǎo yì si	to feel embarrassed; to find it embarrassing
不错	HSK2	bù cuò	correct; right
长	HSK2	zhǎng	chief; head
车站	HSK2	chē zhàn	rail station; bus stop
出	HSK2	chū	to go out; to come out; to arise; to occur
床	HSK2	chuáng	bed; couch (furniture that one can lie down on) (CL:張|张[zhang1]); bed; bottom (of rivers, oceans, gardens etc)
出国	HSK2	chū guó	to go abroad; to leave the country
出来	HSK2	chū lái	to come out; to appear
出门	HSK2	chū mén	to go out; to leave home
出去	HSK2	chū qù	to go out
词	HSK2	cí	word; statement; speech; lyrics
次	HSK2	cì	next in sequence; second
从	HSK2	cóng	from; through; via; (bound form) to follow
从小	HSK2	cóng xiǎo	from childhood; from a young age
错	HSK2	cuò	mistake; wrong
打	HSK2	dǎ	a semantically light, transitive verb that is combined with various grammatical objects to form compound ve...
打车	HSK2	dǎ chē	to take a taxi (in town); to hitch a lift
打开	HSK2	dǎ kāi	to open; to show (a ticket)
但	HSK2	dàn	but; yet; however; still; merely; only; just
但是	HSK2	dàn shì	but; however
得	HSK2	dé	to obtain; to get
地	HSK2	dì	earth; ground
等	HSK2	děng	to wait for; to await; by the time; when; till
点	HSK2	diǎn	to touch briefly; to tap; to mark with a dot; to check off (on a list)
地铁	HSK2	dì tiě	underground railway; subway; subway train
动	HSK2	dòng	(of sth) to move; to set in movement
懂	HSK2	dǒng	to understand; to comprehend
饭馆	HSK2	fàn guǎn	restaurant; CL:家[jia1]
飞	HSK2	fēi	to fly
高	HSK2	gāo	high; tall
告诉	HSK2	gào sù	to press charges; to file a complaint
高中	HSK2	gāo zhōng	senior high school (abbr. for 高級中學|高级中学[gao1 ji2 zhong1 xue2])
跟	HSK2	gēn	heel; to follow closely
个子	HSK2	gè zi	stature; height; size (of a person or object); (agriculture) bundle of cereal stalks tied together
公交车	HSK2	gōng jiāo chē	public transport vehicle; town bus
过	HSK2	guò	to cross; to go over
过	HSK2	guò	to cross; to go over
过来	HSK2	guò lái	to come over; to manage
过年	HSK2	guò nián	to celebrate the Chinese New Year
过去	HSK2	guò qù	(in the) past; former; previous; to go over; to pass by
还是	HSK2	hái shi	still (as before); had better
黑色	HSK2	hēi sè	black
红茶	HSK2	hóng chá	black tea; CL:杯[bei1],壺|壶[hu2]
红色	HSK2	hóng sè	red (color); revolutionary
后面	HSK2	hòu mian	the back; the rear; the last bit; behind; near the end; at the back
画	HSK2	huà	to draw; to paint; picture; painting (CL:幅[fu2],張|张[zhang1])
花	HSK2	huā	flower; blossom
花	HSK2	huā	flower; blossom
坏	HSK2	huài	bad; spoiled
回来	HSK2	huí lai	to return; to come back
回去	HSK2	huí qu	to return; to go back
间	HSK2	jiān	between; among
教	HSK2	jiào	(bound form) to teach; to instruct; a religion
教室	HSK2	jiào shì	classroom; CL:間|间[jian1]
机场	HSK2	jī chǎng	airport; airfield; (slang) service provider for Shadowsocks or similar software for circumventing Internet...
记得	HSK2	jì de	to remember
介绍	HSK2	jiè shào	to introduce (sb to sb); to give a presentation
进	HSK2	jìn	to go forward; to advance
近	HSK2	jìn	near; close to
经常	HSK2	jīng cháng	frequently; constantly; regularly; often; day-to-day; everyday; daily
进来	HSK2	jìn lái	to come in
进去	HSK2	jìn qù	to go in
机票	HSK2	jī piào	plane ticket; airline ticket; CL:張|张[zhang1]
就	HSK2	jiù	(after a suppositional clause) in that case; then; (after a clause of action) as soon as; immediately after
酒店	HSK2	jiǔ diàn	wine shop; pub (public house)
咖啡	HSK2	kā fēi	(loanword) coffee; CL:杯[bei1]
开始	HSK2	kāi shǐ	to begin; beginning
开学	HSK2	kāi xué	(of a student) to start school; (of a semester) to begin
考	HSK2	kǎo	to check; to verify
考试	HSK2	kǎo shì	to take an exam; exam
可能	HSK2	kě néng	might (happen); possible
快	HSK2	kuài	rapid; quick
快乐	HSK2	kuài lè	happy; joyful
快要	HSK2	kuài yào	nearly at the point of (doing sth); about to (do sth)
裤子	HSK2	kù zi	trousers; pants
篮球	HSK2	lán qiú	basketball; CL:個|个[ge4],隻|只[zhi1]
累	HSK2	lèi	tired; weary
离	HSK2	lí	to leave; to part from
里面	HSK2	lǐ miàn	inside; interior
楼	HSK2	lóu	house with more than 1 story; storied building
路	HSK2	lù	road (CL:條|条[tiao2]); journey
绿茶	HSK2	lǜ chá	green tea; (slang) (of a girl) seemingly innocent and charming but actually calculating and manipulative; a...
绿色	HSK2	lǜ sè	green
路上	HSK2	lù shang	on the road; on the way; en route
旅游	HSK2	lǚ yóu	trip; journey
慢	HSK2	màn	slow
每	HSK2	měi	each; every
没意思	HSK2	méi yì si	boring; of no interest
门	HSK2	mén	gate; door; doorway; gateway; opening (CL:扇[shan4]); valve; switch; other door-like or gate-like structure
门口	HSK2	mén kǒu	doorway; gate
门票	HSK2	mén piào	ticket (for theater, cinema etc)
面	HSK2	miàn	face; side
名	HSK2	míng	name; noun (part of speech)
拿	HSK2	ná	to hold; to seize
